campaign_id,brand_name,product_category,platform,country,target_segment,start_date,end_date,ad_text,primary_call_to_action,image_path,impressions,clicks,conversions,reach,spend,revenue,currency,ctr,conversion_rate,engagement_rate,roi,is_viral
C0001,Brand_4,fashion,youtube,SG,Millennial Professionals,2023-05-23,2023-06-05,Top-rated fashion loved by customers like you. Check it out.,Shop now,images/c0001.jpg,72101,645,21,42453,933.53,1050,USD,0.008945784385792153,0.03255813953488372,0.009237042482073759,0.12476299636862236,0
C0002,Brand_19,luxury,instagram,IN,Gen Z - Urban,2023-08-12,2023-09-02,Top-rated luxury loved by customers like you. Check it out.,Shop now,images/c0002.jpg,132707,1407,14,100095,1002.37,5600,USD,0.010602304324564642,0.009950248756218905,0.010707799889983195,4.586759380268763,0
C0003,Brand_18,beauty,google_ads,AE,Millennial Professionals,2024-04-04,2024-05-18,New arrivals in beauty just dropped. Don't miss out!,Shop now,images/c0003.jpg,56312,868,26,44015,899.53,1040,USD,0.015414121324051712,0.029953917050691243,0.01587583463560165,0.15615932764888335,0
C0004,Brand_6,luxury,youtube,US,Millennial Professionals,2023-08-09,2023-09-06,Limited time offer on our luxury collection. Shop now and save big!,Shop now,images/c0004.jpg,37525,307,0,25420,343.28,0,USD,0.008181212524983345,0.0,0.008181212524983345,-1.0,0
C0005,Brand_13,fashion,youtube,US,HNI / Affluent,2023-09-28,2023-10-07,Upgrade your fashion game with exclusive deals for US.,Shop now,images/c0005.jpg,33925,367,12,21711,412.63,600,USD,0.01081798084008843,0.0326975476839237,0.011171702284450994,0.4540871967622325,0
C0006,Brand_13,fashion,google_ads,US,HNI / Affluent,2024-01-06,2024-02-18,Discover premium fashion curated for HNI / Affluent. Click to explore.,Shop now,images/c0006.jpg,52388,1177,20,31130,438.05,1000,USD,0.022466977170344352,0.016992353440951572,0.022848743987172637,1.2828444241524941,1
C0007,Brand_2,beauty,youtube,IN,Millennial Professionals,2023-04-14,2023-05-15,New arrivals in beauty just dropped. Don't miss out!,Get offer,images/c0007.jpg,38046,405,10,27464,760.93,400,USD,0.01064500867371077,0.024691358024691357,0.010907848394049308,-0.47432746770399375,0
C0008,Brand_12,beauty,youtube,US,Millennial Professionals,2024-11-17,2024-12-11,Limited time offer on our beauty collection. Shop now and save big!,Learn more,images/c0008.jpg,9507,85,1,7659,134.31,40,USD,0.008940780477542863,0.011764705882352941,0.009045966130219837,-0.7021815203633386,0
C0009,Brand_18,beauty,facebook,AE,Students,2023-10-04,2023-11-15,Discover premium beauty curated for Students. Click to explore.,Sign up,images/c0009.jpg,93158,1179,51,70633,572.68,2040,USD,0.012655917902917624,0.043256997455470736,0.013203374911440777,2.5621987846615917,0
C0010,Brand_2,beauty,instagram,US,Students,2023-10-02,2023-10-13,Discover premium beauty curated for Students. Click to explore.,Sign up,images/c0010.jpg,101119,1313,58,67656,853.12,2320,USD,0.012984701193643134,0.044173648134044174,0.013558282815296828,1.7194298574643663,0
